Time,PR_Val,Temp_Val,Sys_Val,Resp_Val,SPO2
1,103,,,,93
2,103,,,,90
3,108,,,,93
4,99,,,22,96
5,98,,,21,
6,95,,,30,
7,97,,,31,99
8,102,,,34,99
9,104,,,28,99
10,104,,,39,99
11,100,,,42,96
12,100,,,39,97
13,96,,,39,
14,98,,,40,98
15,91,,,,99
16,89,,,30,100
17,96,,,30,100
18,255,,,32,100
19,255,,,,98
20,255,,,31,100
21,93,,,,100
22,95,,,,100
23,107,,,,99
24,97,,,,99
25,93,,,,99
26,100,,,,99
27,94,,,,99
28,94,,,,99
29,100,,,,99
30,107,,,,98
31,98,,,,98
32,95,,,,98
33,97,,,,96
34,101,,,,98
35,99,,,,98
36,101,,,,98
37,98,,,,98
38,105,,,,96
39,105,,,,94
40,95,,,,98
41,97,,,,99
42,91,,,,99
43,95,,,,100
44,101,,,,100
45,95,,,,100
46,97,,,,100
47,102,,,,100
48,100,,,,95
49,104,,,,99
50,99,,,,98
51,96,,,,99
52,100,,,,98
53,94,,,,97
54,93,,,,99
55,104,,,,98
56,99,,,,98
57,97,,,,94
58,105,,,,98
59,99,,,,97
60,102,,,,98
61,96,,,,99
62,94,,,,99
63,101,,,,99
64,96,,,,99
65,92,,,,99
66,93,,,,99
67,107,,,,98
68,96,,,,99
69,103,,,,98
70,98,,,,98
71,94,,,,99
72,109,,,,96
73,100,,,,98
74,106,,,,99
75,102,,,,99
76,100,,,,99
77,98,,,,99
78,91,,,,100
79,92,,,,93
80,101,,,,99
81,93,,,,99
82,100,,,,97
83,101,,,,96
84,102,,,,96
85,104,,,,99
86,100,,,,98
87,102,,,,98
88,107,,,,98
89,107,,,,97
90,106,,,,98
91,106,,,,98
92,102,,,,98
93,107,,,,98
94,99,,,,98
95,108,,,,98
96,95,,,,99
97,92,,,,99
98,98,,,,98
99,103,,,,97
100,104,,,,93
101,106,,,,93
102,99,,,,94
103,101,,,,95
104,101,,,,96
105,100,,,,97
106,102,,,,98
107,99,,,,99
108,102,,,,97
109,99,,,,98
110,99,,,,98
111,96,,,,96
112,106,,,,99
113,95,,,,99
114,101,,,,99
115,98,,,,99
116,103,,,,99
117,100,,,,99
118,103,,,,99
119,101,,,,99
120,99,,,,99
121,100,,,,99
122,100,,,,99
123,104,,,,99
124,98,,,,99
125,99,,,,98
126,101,,,,99
127,99,,,,98
128,101,,,,98
129,110,,,,95
130,106,,,,98
131,105,,,,98
132,111,,,,95
133,104,,,,96
134,101,,,,98
135,101,,,,99
136,97,,,,97
137,102,,,,98
138,98,,,,97
139,100,,,,98
140,99,,,,97
141,106,,,,97
142,101,,,,77
143,102,,,,98
144,97,,,,98
145,101,,,,95
146,93,,,,98
147,100,,,,98
148,104,,,,98
149,92,,,,99
150,102,,,,99
151,96,,,,99
152,97,,,,99
153,96,,,,99
154,97,,,,100
155,105,,,,98
156,91,,,,99
157,96,,,,99
158,97,,,,99
159,99,,,,98
160,99,,,,98
161,98,,,,98
162,99,,141,,96
163,97,,,,99
164,102,,135,,97
165,98,,,,98
166,98,,,,99
167,101,,,,99
168,95,,,,100
169,99,,,,99
170,101,,,,98
171,99,,,,97
172,101,,,,99
173,101,,,,99
174,101,,,,98
175,106,,,,98
176,104,,,,98
177,105,,,,97
178,100,,,,97
179,99,,,,95
180,108,,,,99
181,95,,,,99
182,97,,,,99
183,103,,,,99
184,101,,,,99
185,99,,,,99
186,95,,,,99
187,95,,,,99
188,104,,,,100
189,105,,,,99
190,107,,,,99
191,97,,,,100
192,100,,,,99
193,99,,,,99
194,102,,,,99
195,104,,,,99
196,99,,,,99
197,103,,,,99
198,99,,,,99
199,98,,,,99
200,98,,,,99
201,108,,,,99
202,101,,,,99
203,95,,,,99
204,96,,,,99
205,99,,,,99
206,101,,,,98
207,100,,,,98
208,101,,,,98
209,98,,,,99
210,96,,,,97
211,96,,,,99
212,102,,,,99
213,108,,,,93
214,105,,,,95
215,107,,,,95
216,108,,,,98
217,101,,,,98
218,105,,,,98
219,105,,,,99
220,101,,,,99
221,101,,,,99
222,100,,,,99
223,108,,,,99
224,98,,,,97
225,107,,,,97
